model,arm,config_hash,recurrence_kind,task,split,difficulty,reasoning_steps,step,n_seeds,cos_last,cos_last_vs_seed,cos_min_after_first,token_acc,exact_match
bdh,bdh/plain,01960a81500f,plain,compose,interp,"{""depth"": 1}",1,2500,1,0.8089879155158997,0.0,0.8089879155158997,0.0,0.0
bdh,bdh/plain,01960a81500f,plain,compose,interp,"{""depth"": 1}",1,5000,1,0.7754736840724945,0.0,0.7754736840724945,0.0,0.0
bdh,bdh/plain,01960a81500f,plain,compose,interp,"{""depth"": 1}",1,7500,1,0.809600442647934,0.0,0.809600442647934,0.0,0.0
bdh,bdh/plain,01960a81500f,plain,compose,interp,"{""depth"": 1}",1,8000,1,0.8097863495349884,0.0,0.8097863495349884,0.0,0.0
bdh,bdh/plain,01960a81500f,plain,compose,interp,"{""depth"": 1}",4,2500,1,0.8089879155158997,0.0,0.8089879155158997,0.0,0.0
bdh,bdh/plain,01960a81500f,plain,compose,interp,"{""depth"": 1}",4,5000,1,0.7754736840724945,0.0,0.7754736840724945,0.0,0.0
bdh,bdh/plain,01960a81500f,plain,compose,interp,"{""depth"": 1}",4,7500,1,0.809600442647934,0.0,0.809600442647934,0.0,0.0
bdh,bdh/plain,01960a81500f,plain,compose,interp,"{""depth"": 1}",4,8000,1,0.8097863495349884,0.0,0.8097863495349884,0.0,0.0
bdh,bdh/plain,01960a81500f,plain,compose,interp,"{""depth"": 1}",8,8000,1,0.8081920892000198,0.0,0.8081920892000198,0.0,0.0
bdh,bdh/plain,01960a81500f,plain,compose,interp,"{""depth"": 1}",32,8000,1,0.8081920892000198,0.0,0.8081920892000198,0.0,0.0
bdh,bdh/plain,01960a81500f,plain,compose,interp,"{""depth"": 2}",1,2500,1,0.7560758367180824,0.0,0.7560758367180824,0.0,0.0
bdh,bdh/plain,01960a81500f,plain,compose,interp,"{""depth"": 2}",1,5000,1,0.7596982195973396,0.0,0.7596982195973396,0.0,0.0
bdh,bdh/plain,01960a81500f,plain,compose,interp,"{""depth"": 2}",1,7500,1,0.801718108355999,0.0,0.801718108355999,0.0,0.0
bdh,bdh/plain,01960a81500f,plain,compose,interp,"{""depth"": 2}",1,8000,1,0.801989920437336,0.0,0.801989920437336,0.0,0.0
bdh,bdh/plain,01960a81500f,plain,compose,interp,"{""depth"": 2}",4,2500,1,0.7560758367180824,0.0,0.7560758367180824,0.0,0.0
bdh,bdh/plain,01960a81500f,plain,compose,interp,"{""depth"": 2}",4,5000,1,0.7596982195973396,0.0,0.7596982195973396,0.0,0.0
bdh,bdh/plain,01960a81500f,plain,compose,interp,"{""depth"": 2}",4,7500,1,0.801718108355999,0.0,0.801718108355999,0.0,0.0
bdh,bdh/plain,01960a81500f,plain,compose,interp,"{""depth"": 2}",4,8000,1,0.801989920437336,0.0,0.801989920437336,0.0,0.0
bdh,bdh/plain,01960a81500f,plain,compose,interp,"{""depth"": 2}",8,8000,1,0.8031748235225677,0.0,0.8031748235225677,0.0,0.0
bdh,bdh/plain,01960a81500f,plain,compose,interp,"{""depth"": 2}",32,8000,1,0.8031748235225677,0.0,0.8031748235225677,0.0,0.0
bdh,bdh/plain,01960a81500f,plain,compose,mild,"{""depth"": 3}",1,2500,1,0.7833742722868919,0.0,0.7833742722868919,0.0,0.0
bdh,bdh/plain,01960a81500f,plain,compose,mild,"{""depth"": 3}",1,5000,1,0.8323191180825233,0.0,0.8323191180825233,0.0,0.0
bdh,bdh/plain,01960a81500f,plain,compose,mild,"{""depth"": 3}",1,7500,1,0.8525040149688721,0.0,0.8525040149688721,0.0,0.0
bdh,bdh/plain,01960a81500f,plain,compose,mild,"{""depth"": 3}",1,8000,1,0.8525763377547264,0.0,0.8525763377547264,0.0,0.0
bdh,bdh/plain,01960a81500f,plain,compose,mild,"{""depth"": 3}",4,2500,1,0.7833742722868919,0.0,0.7833742722868919,0.0,0.0
bdh,bdh/plain,01960a81500f,plain,compose,mild,"{""depth"": 3}",4,5000,1,0.8323191180825233,0.0,0.8323191180825233,0.0,0.0
bdh,bdh/plain,01960a81500f,plain,compose,mild,"{""depth"": 3}",4,7500,1,0.8525040149688721,0.0,0.8525040149688721,0.0,0.0
bdh,bdh/plain,01960a81500f,plain,compose,mild,"{""depth"": 3}",4,8000,1,0.8525763377547264,0.0,0.8525763377547264,0.0,0.0
bdh,bdh/plain,01960a81500f,plain,compose,mild,"{""depth"": 3}",8,8000,1,0.8505104444921017,0.0,0.8505104444921017,0.0,0.0
bdh,bdh/plain,01960a81500f,plain,compose,mild,"{""depth"": 3}",32,8000,1,0.8505104444921017,0.0,0.8505104444921017,0.0,0.0
bdh,bdh/plain,01960a81500f,plain,compose,mild,"{""depth"": 4}",1,2500,1,0.8112695068120956,0.0,0.8112695068120956,0.0,0.0
bdh,bdh/plain,01960a81500f,plain,compose,mild,"{""depth"": 4}",1,5000,1,0.798730306327343,0.0,0.798730306327343,0.0,0.0
bdh,bdh/plain,01960a81500f,plain,compose,mild,"{""depth"": 4}",1,7500,1,0.8242856040596962,0.0,0.8242856040596962,0.0,0.0
bdh,bdh/plain,01960a81500f,plain,compose,mild,"{""depth"": 4}",1,8000,1,0.8244123831391335,0.0,0.8244123831391335,0.0,0.0
bdh,bdh/plain,01960a81500f,plain,compose,mild,"{""depth"": 4}",4,2500,1,0.8112695068120956,0.0,0.8112695068120956,0.0,0.0
bdh,bdh/plain,01960a81500f,plain,compose,mild,"{""depth"": 4}",4,5000,1,0.798730306327343,0.0,0.798730306327343,0.0,0.0
bdh,bdh/plain,01960a81500f,plain,compose,mild,"{""depth"": 4}",4,7500,1,0.8242856040596962,0.0,0.8242856040596962,0.0,0.0
bdh,bdh/plain,01960a81500f,plain,compose,mild,"{""depth"": 4}",4,8000,1,0.8244123831391335,0.0,0.8244123831391335,0.0,0.0
