flag,config_hash,model,task,detail
PROVISIONAL,76dd99c62a3e,bdh,compose,n_seeds=3 < 5
HIGH VAR,76dd99c62a3e,bdh,compose,"cv=1.41 (std=0.001, mean=0.001)"
HIGH VAR,76dd99c62a3e,bdh,compose,"cv=0.84 (std=0.012, mean=0.015)"
HIGH VAR,76dd99c62a3e,bdh,compose,"cv=0.78 (std=0.010, mean=0.013)"
HIGH VAR,76dd99c62a3e,bdh,compose,"cv=0.38 (std=0.030, mean=0.079)"
HIGH VAR,76dd99c62a3e,bdh,compose,"cv=0.37 (std=0.014, mean=0.037)"
HIGH VAR,76dd99c62a3e,bdh,compose,"cv=0.71 (std=0.003, mean=0.004)"
HIGH VAR,76dd99c62a3e,bdh,compose,"cv=0.94 (std=0.002, mean=0.003)"
HIGH VAR,76dd99c62a3e,bdh,compose,"cv=0.64 (std=0.009, mean=0.015)"
HIGH VAR,76dd99c62a3e,bdh,compose,"cv=0.31 (std=0.009, mean=0.028)"
HIGH VAR,76dd99c62a3e,bdh,compose,"cv=0.71 (std=0.002, mean=0.003)"
HIGH VAR,76dd99c62a3e,bdh,compose,"cv=0.51 (std=0.003, mean=0.007)"
HIGH VAR,76dd99c62a3e,bdh,compose,"cv=0.36 (std=0.004, mean=0.011)"
HIGH VAR,76dd99c62a3e,bdh,compose,"cv=0.40 (std=0.007, mean=0.017)"
HIGH VAR,76dd99c62a3e,bdh,compose,"cv=0.75 (std=0.002, mean=0.003)"
HIGH VAR,76dd99c62a3e,bdh,compose,"cv=0.31 (std=0.004, mean=0.014)"
HIGH VAR,76dd99c62a3e,bdh,compose,"cv=0.33 (std=0.008, mean=0.025)"
HIGH VAR,76dd99c62a3e,bdh,compose,"cv=0.31 (std=0.005, mean=0.016)"
HIGH VAR,76dd99c62a3e,bdh,compose,"cv=0.30 (std=0.005, mean=0.017)"
HIGH VAR,76dd99c62a3e,bdh,compose,"cv=0.33 (std=0.009, mean=0.027)"
HIGH VAR,76dd99c62a3e,bdh,compose,"cv=0.45 (std=0.008, mean=0.017)"
HIGH VAR,76dd99c62a3e,bdh,compose,"cv=0.54 (std=0.007, mean=0.013)"
PROVISIONAL,aa765b714f0a,bdh_cq,compose,n_seeds=3 < 5
HIGH VAR,aa765b714f0a,bdh_cq,compose,"cv=0.64 (std=0.003, mean=0.005)"
HIGH VAR,aa765b714f0a,bdh_cq,compose,"cv=1.16 (std=0.006, mean=0.005)"
HIGH VAR,aa765b714f0a,bdh_cq,compose,"cv=0.75 (std=0.043, mean=0.058)"
HIGH VAR,aa765b714f0a,bdh_cq,compose,"cv=0.82 (std=0.020, mean=0.024)"
HIGH VAR,aa765b714f0a,bdh_cq,compose,"cv=0.71 (std=0.054, mean=0.076)"
