model,task,split,difficulty,reasoning_steps,n_seeds,cos_last,cos_min_after_first,token_acc,exact_match
bdh,compose,interp,"{""depth"": 1}",1,3,0.6262616614500681,0.6262616614500681,0.12333333333333334,0.12333333333333334
bdh,compose,interp,"{""depth"": 1}",2,3,0.6262616614500681,0.6262616614500681,0.12333333333333334,0.12333333333333334
bdh,compose,interp,"{""depth"": 1}",4,3,0.6262616614500681,0.6262616614500681,0.12333333333333334,0.12333333333333334
bdh,compose,interp,"{""depth"": 1}",8,3,0.6357520160575708,0.6357520160575708,0.12333333333333334,0.12333333333333334
bdh,compose,interp,"{""depth"": 1}",16,3,0.6262616614500681,0.6262616614500681,0.12333333333333334,0.12333333333333334
bdh,compose,interp,"{""depth"": 1}",32,3,0.6357520160575708,0.6357520160575708,0.12333333333333334,0.12333333333333334
bdh,compose,interp,"{""depth"": 2}",1,3,0.5953535040219625,0.5953535040219625,0.07733333333333332,0.07733333333333332
bdh,compose,interp,"{""depth"": 2}",2,3,0.5953535040219625,0.5953535040219625,0.07733333333333332,0.07733333333333332
bdh,compose,interp,"{""depth"": 2}",4,3,0.5953535040219625,0.5953535040219625,0.07733333333333332,0.07733333333333332
bdh,compose,interp,"{""depth"": 2}",8,3,0.5963089236368736,0.5963089236368736,0.07733333333333332,0.07733333333333332
bdh,compose,interp,"{""depth"": 2}",16,3,0.5953535040219625,0.5953535040219625,0.07733333333333332,0.07733333333333332
bdh,compose,interp,"{""depth"": 2}",32,3,0.5963089236368736,0.5963089236368736,0.07733333333333332,0.07733333333333332
bdh,compose,mild,"{""depth"": 3}",1,3,0.650716649989287,0.650716649989287,0.06,0.06
bdh,compose,mild,"{""depth"": 3}",2,3,0.650716649989287,0.650716649989287,0.06,0.06
bdh,compose,mild,"{""depth"": 3}",4,3,0.650716649989287,0.650716649989287,0.06,0.06
bdh,compose,mild,"{""depth"": 3}",8,3,0.6470375439773003,0.6470375439773003,0.06,0.06
bdh,compose,mild,"{""depth"": 3}",16,3,0.650716649989287,0.650716649989287,0.06,0.06
bdh,compose,mild,"{""depth"": 3}",32,3,0.6470375439773003,0.6470375439773003,0.06,0.06
bdh,compose,mild,"{""depth"": 4}",1,3,0.7126407896478971,0.7126407896478971,0.04533333333333334,0.04533333333333334
bdh,compose,mild,"{""depth"": 4}",2,3,0.7126407896478971,0.7126407896478971,0.04533333333333334,0.04533333333333334
bdh,compose,mild,"{""depth"": 4}",4,3,0.7126407896478971,0.7126407896478971,0.04533333333333334,0.04533333333333334
bdh,compose,mild,"{""depth"": 4}",8,3,0.7113739599784216,0.7113739599784216,0.04533333333333334,0.04533333333333334
bdh,compose,mild,"{""depth"": 4}",16,3,0.7126407896478971,0.7126407896478971,0.04533333333333334,0.04533333333333334
bdh,compose,mild,"{""depth"": 4}",32,3,0.7113739599784216,0.7113739599784216,0.04533333333333334,0.04533333333333334
