model,task,split,difficulty,reasoning_steps,n_seeds,cos_last,cos_min_after_first,token_acc,exact_match
bdh,propagate,interp,"{""dim"": 1, ""distance"": 1, ""length"": 12, ""n_sources"": 1}",1,3,0.21434473184247813,0.21434473184247813,1.0,1.0
bdh,propagate,interp,"{""dim"": 1, ""distance"": 1, ""length"": 12, ""n_sources"": 1}",2,3,0.21434473184247813,0.21434473184247813,1.0,1.0
bdh,propagate,interp,"{""dim"": 1, ""distance"": 1, ""length"": 12, ""n_sources"": 1}",4,3,0.21434473184247813,0.21434473184247813,1.0,1.0
bdh,propagate,interp,"{""dim"": 1, ""distance"": 1, ""length"": 12, ""n_sources"": 1}",8,3,0.20596118178218603,0.20596118178218603,1.0,1.0
bdh,propagate,interp,"{""dim"": 1, ""distance"": 1, ""length"": 12, ""n_sources"": 1}",16,3,0.21434473184247813,0.21434473184247813,1.0,1.0
bdh,propagate,interp,"{""dim"": 1, ""distance"": 1, ""length"": 12, ""n_sources"": 1}",32,3,0.20596118178218603,0.20596118178218603,1.0,1.0
bdh,propagate,interp,"{""dim"": 1, ""distance"": 2, ""length"": 12, ""n_sources"": 1}",1,3,0.21333063145478567,0.21333063145478567,1.0,1.0
bdh,propagate,interp,"{""dim"": 1, ""distance"": 2, ""length"": 12, ""n_sources"": 1}",2,3,0.21333063145478567,0.21333063145478567,1.0,1.0
bdh,propagate,interp,"{""dim"": 1, ""distance"": 2, ""length"": 12, ""n_sources"": 1}",4,3,0.21333063145478567,0.21333063145478567,1.0,1.0
bdh,propagate,interp,"{""dim"": 1, ""distance"": 2, ""length"": 12, ""n_sources"": 1}",8,3,0.21033594912538925,0.21033594912538925,1.0,1.0
bdh,propagate,interp,"{""dim"": 1, ""distance"": 2, ""length"": 12, ""n_sources"": 1}",16,3,0.21333063145478567,0.21333063145478567,1.0,1.0
bdh,propagate,interp,"{""dim"": 1, ""distance"": 2, ""length"": 12, ""n_sources"": 1}",32,3,0.21033594912538925,0.21033594912538925,1.0,1.0
bdh,propagate,interp,"{""dim"": 1, ""distance"": 4, ""length"": 12, ""n_sources"": 1}",1,3,0.21159881663819155,0.21159881663819155,1.0,1.0
bdh,propagate,interp,"{""dim"": 1, ""distance"": 4, ""length"": 12, ""n_sources"": 1}",2,3,0.21159881663819155,0.21159881663819155,1.0,1.0
bdh,propagate,interp,"{""dim"": 1, ""distance"": 4, ""length"": 12, ""n_sources"": 1}",4,3,0.21159881663819155,0.21159881663819155,1.0,1.0
