config_hash,model,task,step,reasoning_steps,split,difficulty,n_seeds,provisional,dev,diverged_k,exact_match_mean,exact_match_std,exact_match_min,exact_match_max,exact_match_values,exact_match_ci95_lo,exact_match_ci95_hi,exact_match_mean_incl_failed,token_acc_mean,params
76dd99c62a3e,bdh,compose,2500,1,interp,"{""depth"": 1}",3,True,False,0,0.0006666666666666666,0.0009428090415820634,0.0,0.002,"[0.0, 0.002, 0.0]",0.0,0.002,0.0006666666666666666,0.0006666666666666666,10010880
76dd99c62a3e,bdh,compose,2500,1,interp,"{""depth"": 2}",3,True,False,0,0.0,0.0,0.0,0.0,"[0.0, 0.0, 0.0]",0.0,0.0,0.0,0.0,10010880
76dd99c62a3e,bdh,compose,5000,1,interp,"{""depth"": 1}",3,True,False,0,0.014666666666666666,0.012256517540566824,0.0,0.03,"[0.0, 0.03, 0.014]",0.0,0.03,0.014666666666666666,0.014666666666666666,10010880
76dd99c62a3e,bdh,compose,5000,1,interp,"{""depth"": 2}",3,True,False,0,0.012666666666666666,0.009843215373488933,0.0,0.024,"[0.0, 0.024, 0.014]",0.0,0.024000000000000004,0.012666666666666666,0.012666666666666666,10010880
76dd99c62a3e,bdh,compose,7500,1,interp,"{""depth"": 1}",3,True,False,0,0.07933333333333333,0.02994810326028827,0.038,0.108,"[0.038, 0.108, 0.092]",0.038,0.108,0.07933333333333333,0.07933333333333333,10010880
76dd99c62a3e,bdh,compose,7500,1,interp,"{""depth"": 2}",3,True,False,0,0.037333333333333336,0.013695092389449427,0.018,0.048,"[0.018, 0.046, 0.048]",0.018,0.04800000000000001,0.037333333333333336,0.037333333333333336,10010880
76dd99c62a3e,bdh,compose,10000,1,interp,"{""depth"": 1}",3,True,False,0,0.10666666666666667,0.0024944382578492965,0.104,0.11,"[0.104, 0.11, 0.106]",0.104,0.11,0.10666666666666667,0.10666666666666667,10010880
76dd99c62a3e,bdh,compose,10000,1,interp,"{""depth"": 2}",3,True,False,0,0.04933333333333334,0.0009428090415820641,0.048,0.05,"[0.048, 0.05, 0.05]",0.04800000000000001,0.05000000000000001,0.04933333333333334,0.04933333333333334,10010880
76dd99c62a3e,bdh,compose,12500,1,interp,"{""depth"": 1}",3,True,False,0,0.10866666666666665,0.013299958228840005,0.09,0.12,"[0.12, 0.116, 0.09]",0.09000000000000001,0.12,0.10866666666666665,0.10866666666666665,10010880
76dd99c62a3e,bdh,compose,12500,1,interp,"{""depth"": 2}",3,True,False,0,0.05933333333333333,0.0077172246018601546,0.052,0.07,"[0.052, 0.07, 0.056]",0.052,0.07,0.05933333333333333,0.05933333333333333,10010880
76dd99c62a3e,bdh,compose,15000,1,interp,"{""depth"": 1}",3,True,False,0,0.122,0.006531972647421809,0.114,0.13,"[0.114, 0.13, 0.122]",0.114,0.13,0.122,0.122,10010880
76dd99c62a3e,bdh,compose,15000,1,interp,"{""depth"": 2}",3,True,False,0,0.06466666666666666,0.0033993463423951926,0.06,0.068,"[0.06, 0.068, 0.066]",0.06,0.068,0.06466666666666666,0.06466666666666666,10010880
76dd99c62a3e,bdh,compose,17500,1,interp,"{""depth"": 1}",3,True,False,0,0.12133333333333333,0.005249338582674539,0.114,0.126,"[0.114, 0.124, 0.126]",0.114,0.126,0.12133333333333333,0.12133333333333333,10010880
76dd99c62a3e,bdh,compose,17500,1,interp,"{""depth"": 2}",3,True,False,0,0.07266666666666667,0.008379870059984357,0.064,0.084,"[0.07, 0.084, 0.064]",0.064,0.084,0.07266666666666667,0.07266666666666667,10010880
76dd99c62a3e,bdh,compose,20000,1,interp,"{""depth"": 1}",3,True,False,0,0.11466666666666665,0.006798692684790379,0.108,0.124,"[0.112, 0.124, 0.108]",0.108,0.124,0.11466666666666665,0.11466666666666665,10010880
76dd99c62a3e,bdh,compose,20000,1,interp,"{""depth"": 2}",3,True,False,0,0.074,0.002828427124746186,0.07,0.076,"[0.076, 0.076, 0.07]",0.07,0.076,0.074,0.074,10010880
76dd99c62a3e,bdh,compose,22500,1,interp,"{""depth"": 1}",3,True,False,0,0.128,0.01574801574802362,0.114,0.15,"[0.15, 0.12, 0.114]",0.114,0.15,0.128,0.128,10010880
