flag,config_hash,model,task,detail
PROVISIONAL,e98c9a22b8de,bdh,compose,n_seeds=3 < 5
HIGH VAR,e98c9a22b8de,bdh,compose,"cv=1.41 (std=0.001, mean=0.001)"
HIGH VAR,e98c9a22b8de,bdh,compose,"cv=0.31 (std=0.026, mean=0.083)"
HIGH VAR,e98c9a22b8de,bdh,compose,"cv=0.51 (std=0.003, mean=0.007)"
HIGH VAR,e98c9a22b8de,bdh,compose,"cv=0.43 (std=0.009, mean=0.020)"
HIGH VAR,e98c9a22b8de,bdh,compose,"cv=0.31 (std=0.016, mean=0.050)"
HIGH VAR,e98c9a22b8de,bdh,compose,"cv=0.45 (std=0.012, mean=0.026)"
HIGH VAR,e98c9a22b8de,bdh,compose,"cv=0.48 (std=0.024, mean=0.049)"
HIGH VAR,e98c9a22b8de,bdh,compose,"cv=0.57 (std=0.030, mean=0.053)"
HIGH VAR,e98c9a22b8de,bdh,compose,"cv=0.63 (std=0.028, mean=0.044)"
HIGH VAR,e98c9a22b8de,bdh,compose,"cv=0.72 (std=0.038, mean=0.053)"
HIGH VAR,e98c9a22b8de,bdh,compose,"cv=0.59 (std=0.036, mean=0.062)"
HIGH VAR,e98c9a22b8de,bdh,compose,"cv=0.55 (std=0.037, mean=0.067)"
HIGH VAR,e98c9a22b8de,bdh,compose,"cv=0.58 (std=0.046, mean=0.079)"
HIGH VAR,e98c9a22b8de,bdh,compose,"cv=0.50 (std=0.036, mean=0.071)"
HIGH VAR,e98c9a22b8de,bdh,compose,"cv=0.55 (std=0.040, mean=0.073)"
HIGH VAR,e98c9a22b8de,bdh,compose,"cv=0.35 (std=0.001, mean=0.003)"
HIGH VAR,e98c9a22b8de,bdh,compose,"cv=1.02 (std=0.003, mean=0.003)"
HIGH VAR,e98c9a22b8de,bdh,compose,"cv=0.82 (std=0.003, mean=0.004)"
HIGH VAR,e98c9a22b8de,bdh,compose,"cv=1.08 (std=0.004, mean=0.004)"
HIGH VAR,e98c9a22b8de,bdh,compose,"cv=1.41 (std=0.005, mean=0.003)"
HIGH VAR,e98c9a22b8de,bdh,compose,"cv=0.75 (std=0.002, mean=0.003)"
HIGH VAR,e98c9a22b8de,bdh,compose,"cv=0.41 (std=0.002, mean=0.004)"
HIGH VAR,e98c9a22b8de,bdh,compose,"cv=0.71 (std=0.001, mean=0.001)"
HIGH VAR,e98c9a22b8de,bdh,compose,"cv=0.86 (std=0.006, mean=0.007)"
HIGH VAR,e98c9a22b8de,bdh,compose,"cv=0.64 (std=0.005, mean=0.007)"
HIGH VAR,e98c9a22b8de,bdh,compose,"cv=1.41 (std=0.002, mean=0.001)"
HIGH VAR,e98c9a22b8de,bdh,compose,"cv=0.82 (std=0.005, mean=0.006)"
HIGH VAR,e98c9a22b8de,bdh,compose,"cv=0.93 (std=0.008, mean=0.009)"
HIGH VAR,e98c9a22b8de,bdh,compose,"cv=0.99 (std=0.007, mean=0.007)"
HIGH VAR,e98c9a22b8de,bdh,compose,"cv=0.94 (std=0.006, mean=0.006)"
PROVISIONAL,0bd1b97babcc,bdh_cq,compose,n_seeds=3 < 5
HIGH VAR,0bd1b97babcc,bdh_cq,compose,"cv=1.41 (std=0.002, mean=0.001)"
HIGH VAR,0bd1b97babcc,bdh_cq,compose,"cv=1.41 (std=0.001, mean=0.001)"
HIGH VAR,0bd1b97babcc,bdh_cq,compose,"cv=0.71 (std=0.001, mean=0.001)"
HIGH VAR,0bd1b97babcc,bdh_cq,compose,"cv=0.89 (std=0.026, mean=0.029)"
HIGH VAR,0bd1b97babcc,bdh_cq,compose,"cv=0.69 (std=0.007, mean=0.011)"
HIGH VAR,0bd1b97babcc,bdh_cq,compose,"cv=0.62 (std=0.054, mean=0.086)"
HIGH VAR,0bd1b97babcc,bdh_cq,compose,"cv=0.58 (std=0.030, mean=0.052)"
HIGH VAR,0bd1b97babcc,bdh_cq,compose,"cv=0.50 (std=0.051, mean=0.103)"
HIGH VAR,0bd1b97babcc,bdh_cq,compose,"cv=0.49 (std=0.034, mean=0.069)"
HIGH VAR,0bd1b97babcc,bdh_cq,compose,"cv=0.42 (std=0.041, mean=0.097)"
HIGH VAR,0bd1b97babcc,bdh_cq,compose,"cv=0.35 (std=0.001, mean=0.003)"
HIGH VAR,0bd1b97babcc,bdh_cq,compose,"cv=0.79 (std=0.013, mean=0.017)"
HIGH VAR,0bd1b97babcc,bdh_cq,compose,"cv=0.56 (std=0.005, mean=0.009)"
HIGH VAR,0bd1b97babcc,bdh_cq,compose,"cv=0.69 (std=0.057, mean=0.083)"
HIGH VAR,0bd1b97babcc,bdh_cq,compose,"cv=0.47 (std=0.019, mean=0.041)"
HIGH VAR,0bd1b97babcc,bdh_cq,compose,"cv=0.55 (std=0.055, mean=0.099)"
HIGH VAR,0bd1b97babcc,bdh_cq,compose,"cv=0.49 (std=0.032, mean=0.065)"
HIGH VAR,0bd1b97babcc,bdh_cq,compose,"cv=0.42 (std=0.041, mean=0.098)"
HIGH VAR,0bd1b97babcc,bdh_cq,compose,"cv=0.64 (std=0.003, mean=0.005)"
HIGH VAR,0bd1b97babcc,bdh_cq,compose,"cv=0.77 (std=0.004, mean=0.005)"
HIGH VAR,0bd1b97babcc,bdh_cq,compose,"cv=0.66 (std=0.015, mean=0.023)"
HIGH VAR,0bd1b97babcc,bdh_cq,compose,"cv=0.63 (std=0.009, mean=0.015)"
HIGH VAR,0bd1b97babcc,bdh_cq,compose,"cv=0.60 (std=0.020, mean=0.033)"
HIGH VAR,0bd1b97babcc,bdh_cq,compose,"cv=0.56 (std=0.016, mean=0.029)"
HIGH VAR,0bd1b97babcc,bdh_cq,compose,"cv=0.66 (std=0.034, mean=0.051)"
HIGH VAR,0bd1b97babcc,bdh_cq,compose,"cv=0.57 (std=0.033, mean=0.057)"
HIGH VAR,0bd1b97babcc,bdh_cq,compose,"cv=0.72 (std=0.040, mean=0.055)"
HIGH VAR,0bd1b97babcc,bdh_cq,compose,"cv=0.39 (std=0.028, mean=0.072)"
HIGH VAR,0bd1b97babcc,bdh_cq,compose,"cv=0.61 (std=0.045, mean=0.075)"
HIGH VAR,0bd1b97babcc,bdh_cq,compose,"cv=0.35 (std=0.025, mean=0.073)"
HIGH VAR,0bd1b97babcc,bdh_cq,compose,"cv=0.62 (std=0.044, mean=0.072)"
