flag,config_hash,model,task,detail
HIGH VAR,5474de1f354e,bdh,propagate,"cv=0.82 (std=0.003, mean=0.004)"
HIGH VAR,5474de1f354e,bdh,propagate,"cv=1.20 (std=0.008, mean=0.007)"
HIGH VAR,5474de1f354e,bdh,propagate,"cv=0.35 (std=0.001, mean=0.004)"
HIGH VAR,5474de1f354e,bdh,propagate,"cv=0.50 (std=0.240, mean=0.476)"
HIGH VAR,5474de1f354e,bdh,propagate,"cv=0.51 (std=0.210, mean=0.412)"
HIGH VAR,5474de1f354e,bdh,propagate,"cv=0.48 (std=0.248, mean=0.516)"
HIGH VAR,5474de1f354e,bdh,propagate,"cv=2.00 (std=0.001, mean=0.000)"
HIGH VAR,5474de1f354e,bdh,propagate,"cv=0.47 (std=0.114, mean=0.242)"
HIGH VAR,5474de1f354e,bdh,propagate,"cv=0.47 (std=0.101, mean=0.214)"
HIGH VAR,5474de1f354e,bdh,propagate,"cv=0.58 (std=0.165, mean=0.285)"
HIGH VAR,5474de1f354e,bdh,propagate,"cv=1.09 (std=0.076, mean=0.070)"
HIGH VAR,5474de1f354e,bdh,propagate,"cv=0.73 (std=0.127, mean=0.174)"
HIGH VAR,5474de1f354e,bdh,propagate,"cv=1.40 (std=0.060, mean=0.043)"
HIGH VAR,5474de1f354e,bdh,propagate,"cv=0.71 (std=0.142, mean=0.201)"
HIGH VAR,5474de1f354e,bdh,propagate,"cv=1.91 (std=0.021, mean=0.011)"
HIGH VAR,5474de1f354e,bdh,propagate,"cv=0.72 (std=0.098, mean=0.136)"
HIGH VAR,5474de1f354e,bdh,propagate,"cv=1.50 (std=0.013, mean=0.009)"
HIGH VAR,5474de1f354e,bdh,propagate,"cv=1.23 (std=0.174, mean=0.142)"
HIGH VAR,5474de1f354e,bdh,propagate,"cv=1.46 (std=0.009, mean=0.006)"
HIGH VAR,5474de1f354e,bdh,propagate,"cv=1.08 (std=0.138, mean=0.128)"
HIGH VAR,5474de1f354e,bdh,propagate,"cv=1.78 (std=0.008, mean=0.004)"
HIGH VAR,5474de1f354e,bdh,propagate,"cv=0.83 (std=0.122, mean=0.146)"
HIGH VAR,5474de1f354e,bdh,propagate,"cv=0.94 (std=0.001, mean=0.002)"
HIGH VAR,5474de1f354e,bdh,propagate,"cv=1.33 (std=0.160, mean=0.120)"
HIGH VAR,5474de1f354e,bdh,propagate,"cv=1.33 (std=0.002, mean=0.001)"
HIGH VAR,5474de1f354e,bdh,propagate,"cv=1.30 (std=0.146, mean=0.113)"
HIGH VAR,5474de1f354e,bdh,propagate,"cv=1.23 (std=0.140, mean=0.114)"
HIGH VAR,5474de1f354e,bdh,propagate,"cv=1.22 (std=0.001, mean=0.001)"
HIGH VAR,5474de1f354e,bdh,propagate,"cv=1.19 (std=0.124, mean=0.104)"
HIGH VAR,5474de1f354e,bdh,propagate,"cv=1.11 (std=0.116, mean=0.104)"
HIGH VAR,5474de1f354e,bdh,propagate,"cv=2.00 (std=0.002, mean=0.001)"
