model,arm,config_hash,recurrence_kind,task,split,difficulty,reasoning_steps,step,n_seeds,cos_last,cos_last_vs_seed,cos_min_after_first,token_acc,exact_match
bdh,bdh/plain,5474de1f354e,plain,propagate,interp,"{""dim"": 1, ""distance"": 1, ""length"": 12, ""n_sources"": 1}",1,2500,3,0.4246209152042866,0.0,0.4246209152042866,0.8072188819002011,0.0
bdh,bdh/plain,5474de1f354e,plain,propagate,interp,"{""dim"": 1, ""distance"": 1, ""length"": 12, ""n_sources"": 1}",1,5000,3,0.26207607487837475,0.0,0.26207607487837475,0.798735852682305,0.0019960079840319364
bdh,bdh/plain,5474de1f354e,plain,propagate,interp,"{""dim"": 1, ""distance"": 1, ""length"": 12, ""n_sources"": 1}",1,7500,3,0.18669195783634981,0.0,0.18669195783634981,0.9088489713069207,0.32834331337325345
bdh,bdh/plain,5474de1f354e,plain,propagate,interp,"{""dim"": 1, ""distance"": 1, ""length"": 12, ""n_sources"": 1}",1,10000,3,0.189882455393672,0.0,0.189882455393672,0.9980871594713596,0.9770459081836327
bdh,bdh/plain,5474de1f354e,plain,propagate,interp,"{""dim"": 1, ""distance"": 1, ""length"": 12, ""n_sources"": 1}",1,12500,3,0.19008839254577956,0.0,0.19008839254577956,0.9993346641639511,0.9920159680638722
bdh,bdh/plain,5474de1f354e,plain,propagate,interp,"{""dim"": 1, ""distance"": 1, ""length"": 12, ""n_sources"": 1}",1,15000,3,0.19897134539981684,0.0,0.19897134539981684,0.9993346641044655,0.9930139720558883
bdh,bdh/plain,5474de1f354e,plain,propagate,interp,"{""dim"": 1, ""distance"": 1, ""length"": 12, ""n_sources"": 1}",1,17500,3,0.20165031713744005,0.0,0.20165031713744005,0.9997504990614816,0.9970059880239521
bdh,bdh/plain,5474de1f354e,plain,propagate,interp,"{""dim"": 1, ""distance"": 1, ""length"": 12, ""n_sources"": 1}",1,20000,3,0.21000539138913155,0.0,0.21000539138913155,0.9996673320819757,0.9960079840319361
bdh,bdh/plain,5474de1f354e,plain,propagate,interp,"{""dim"": 1, ""distance"": 1, ""length"": 12, ""n_sources"": 1}",1,22500,3,0.20789912280937037,0.0,0.20789912280937037,0.9996673320819757,0.9960079840319361
bdh,bdh/plain,5474de1f354e,plain,propagate,interp,"{""dim"": 1, ""distance"": 1, ""length"": 12, ""n_sources"": 1}",1,25000,3,0.21141189398864904,0.0,0.21141189398864904,0.9999168330204938,0.999001996007984
